N3042022	3439 7022 3439
N8977798	2722 3904
N8977846	383 2430 6060 4820 7653 7653 4872
N8980185	7499 6195
N8980203	5310 81 8454
N8981707	4715 7434 1752
N8987178	2631 5310 6638 4220 1910 6541 2856 5960 5768 6257 159
N8989844	7499
N8990172	4281
N8990180	2603 2820
N8990434	5969
N8990483	383 1033
N8990520	1052
N8991640	5287 2768
N8993385	4548 8249 4206
N8994546	1490 1465 7836
N8994714	1015 1112
N8994831	3265
N8995944	7171
N8996121	155 3193 1906 5310 7575 3367 1153 2598 5768 8202
N8997426	1371 7402 5310 883
N8997764	7499
N8997943	7958
N8998258	8316 3017
N8998755	7720 2116
N9001008	4222
N9004956	7527
N9004964	6198 5310 8316
N9005434	7499
N9005696	1102
N9005733	3718
N9005797	5708
N9007333	2801 6552
N9008007	3529 1804 2127 767 7663 5442 7828 240
N9008077	785 5540 5310 6176 60 8316 7381 765 3765 2856 7786 437
N9009196	7527 7751
N9009942	5498 3004 5293 18 2977 4468 1771 4612 6010 171 5918 3918
N9010500	1058 6512 5760 7171 5967 6865 1163
N9012167	5310 1577
N9012302	7389 4592 81 1872
N9012594	817 3094 3568 7679
N9013328	7171 6117 1524
N9013790	7527 1577 7499 1572 6606
N9014877	7901 4583
N9015112	7329
N9015264	999 3764
N9015361	5647 7329
N9015397	2252 5647 7329 3505
N9015428	2252 5647 4583
N9015578	7389 785 383 4928
N9016163	3886
N9018900	510 5735
N9018942	5310 81 3700
N9019340	6682
N9019947	1752
N9020647	3659 2093
N9020783	1906 2374 1653 3886 7332 4868 3104 2994 7535 3962 3962 3962 5677 1163 8202
N9020954	2117 6194 2943 7499 7396
N9021386	3605
N9021410	4274
N9021585	7499
N9022250	4708 5310 8039 8039 4468 4714 7115 7380 1123 7569 3832
N9024829	2971 7499 78
N9024975	7171 1577 7329
N9025193	81
N9025880	8311 1906 5310 7171 7499 1872
N9028862	1577
N9031817	7171
N9032860	2370
N9032996	3605 8532
N9033029	7499
N9033044	2783
N9033168	7499
N9035611	4492 172
N9036641	6066 6877 5990 3953 6268 967 222
N9036881	7499 78 6219 1572
N9038611	1034 8361 4394 5913 5275 296 296 7499 272 1910 6219
N9038719	5310
N9039793	1579 2127 3104 4841 2856 437
N9041065	5310 6459
N9041388	1579 5310 2374 4339 6932
N9041539	437
N9041559	1579 5310 2856 437
N9042239	5452
N9042254	7527
N9042313	1752
N9042392	5677
N9042543	374
N9042703	6219
N9042718	7499 7232
N9043394	8375 4785
N9044157	7585 5504
N9044281	7491
N9044287	3662 3301
N9044317	3605
N9045466	1073 5677
N9045590	7329 4423
N9046821	715
N9046881	7329 2079
N9047334	3493 8056 751
N9048382	6060
N9049540	1906 5310
N9049675	7499 2452 4322
N9050092	1058 1371 6176 5401 320 7499 2751
N9051981	7396
N9052240	6512 3709 5310 4860 6512 3709 5279 5310 4860
N9052265	4550 4592 7391 3794 6124 7768 4224 1102
N9052871	7210
N9053759	3493 8056 7472 5691
N9054254	5265 1577 8091 640
N9054343	3500 1577
N9054365	5310 1536 7756 5535 1872
N9054709	6031 6886 2127 4468 826 3329 8516 1587 4868 7443 6712 364
N9054792	950 2117 5507 7858
N9055514	8192 1066 3691
N9055889	1577 3479
N9055981	2374 5913 3605 7499 272 1687 2751 2751 78 2454 6704 6219 5768
N9056022	5167 3386 6886 4395 5998 8202
N9056401	8192 4928 3691
N9056565	5310 2817 5708 7499 4351 81 7569 2190
N9056620	4583
N9056789	2020 8258 148 563 6846 6886 7942 3845 4050 3573 3849 6040 4841 8202
N9056965	7499 272 1687 2751 6219
N9057278	1057 2611 6345 450
N9058629	7798 7574 5310 1566 1504 6268 1123
N9059361	1577
N9059412	1034 4495 3837 7681 6895 6245
N9059684	37 5310 6114 4311 4311 5124
N9059707	5951 7418 1577
N9059808	2127 7087 1101 6004 7924 967 4583 7286 4841 6812 2856 7193 437 5558
N9059886	1058 785 3821 2374 677 7499 1687 2751 2751 78 6219 5768
N9059919	5969
N9060106	7499
N9060112	5953 6827
N9060116	715 270 6471 8324 4980
N9060127	5708
N9060569	6071 5168 2661 7222 1577 4086 2279 3796
N9060960	2374 878 4233 5287 4690
N9060965	6089 1577 7499
N9061141	2631 1022 5013 5768
N9061821	5310 3989
N9061827	1066
N9062092	5589 4344 5900 5043 5043 8202
N9062112	6198 3386 5928 2856 3956 3956
N9062150	5310 3094 5112 6110
N9062200	2865 7922 4946 4155 4155 2094 7499 78 4690
N9062430	3234 3094 635 2590 6371
N9062518	815 1935
N9062526	1906 1752
N9063528	7840 6577 3094 5978 3789 8163 3104 4841 7679 5768 8202
N9065568	6024 1577
N9065876	1906 5310 6176 7087 290 5034 437 8099
N9067259	95
N9067355	6029 3104 6592 3302 4170
N9067425	5340
N9067545	7499
N9067583	3500
N9067602	1906
N9067627	1052
N9067760	1419 6043 3822 6886
N9068143	5442 2361
N9068220	2422 5310 3094 7451 495 7729 81 1872 5718 2422 5310 3094 7451 495 7729 81 1872 5718
N9068358	3529 5451 2271 8324
N9068464	3053 6896 3597
N9068560	3104 3104
N9069862	1953 5310 1765
N9070001	5431 4170
N9070682	5088 1322 4742 7499 4588 5088 1322 4742 7499
N9070796	635
N9071551	5310 4093
N9071942	5866 5866 5866 735 971
N9073025	1906 8411 7396
N9073515	5201 5310 6395 4559 7205 8237 372
N9073657	7499
N9075073	7171 1577
N9075385	5260 7538 7611 5442 8202 2834
N9075858	1416 6184 437 2348
N9075989	6091
N9076339	1172
N9076389	2748
N9076647	5310 6220 2566 873 7975 2856 5768 6932
N9078171	7491 6933
N9078174	5941 2374 3944 4614
N9078230	652 6264 6264
N9078346	2176 7171 5504 7329
N9078538	6496 5310 7404
N9078646	6043 5310 3094 1577 7748
N9080070	3500 2374 5708 2856
N9080096	4592 8316 7499 1910 1687 2751 5962
N9080498	2657
N9080853	3764 2826
N9082735	3718 5799 5533 6184
N9083071	6913 1969 5310 2374 3718 1961 4290 6459 437
N9083206	1577 7715 839 640
N9084355	3772 815 3772 815
N9084550	948 1577 8393
N9084917	5310 5228 1637 6645 5548 372 8057 6932
N9085457	1906
N9085466	5310 8324 8249
N9085641	6909 4233
N9085760	5451 2163 4899 1577 3573 282 4841 437 3832 778
N9085859	6484
N9085864	5953
N9086225	5310 492
N9086314	2670
N9086384	2632 2181
N9087234	5310
N9087328	1322 2374 5964 6364 6176 4928 3574 6852 437 7042 2374 6176 4928 3574 437 7042
N9087568	7499 61
N9087825	2657 2657 3880 4045 2037 7931 7120
N9088098	1577 49 8035 7969
N9088128	5614 7396
N9088500	3821 7499 2751 2751 6219 2856
N9088606	7527 7389 6980 8530 3094 7899 6885 2637 8000 7836 306 6428
N9088771	6176 2127 4154 7663 7114 4820 7653 7042
N9088842	8171
N9089120	4715 2163 6176 5267 4833 964 4841
N9089168	7545 5299 7193 3967
N9089355	3396 6145 6220 6176 659 1865 967 4505 3065
N9090443	7939 2528
N9091973	7677 5588 5
N9092268	5957 7499 7193
N9092418	7499 78
N9094503	7499 2142
N9094513	3579 6971 1626
N9095244	5408 6008 6026 795 7128 3898 518 1850 3259 2833 4799 1038 5050 5408 6008 6026 795 3898 518 3259 2833 4799 1038 5050 1836
N9095448	7530
N9095483	1577 1572
N9095605	4274
N9095649	2632
N9095728	3605
N9095755	7389
N9095775	4372
N9095805	7499
N9095931	5310 5768
N9096458	4727 2163 2127 5442 720 4015
N9096729	3400 1890 1577 6138
N9096786	5953 3386 5310 383 7499 4045 7931 1137 3836
N9097165	2003 4071 8029 5310 2163 6871 2401 802 6098 7335 4133 282 4841 6712 348 3440 8202 4015
N9097382	5201 3137 1905
N9097821	7171
N9097962	7171 2127 1577
N9098807	8271 5310 5082 4951 8271 5310 5082 4951
N9099237	7389 7389 4834 1833 7115 7663 7286 219 5686 1828
N9099885	1189 5310 2127 2139
N9100504	2898 6187 5233 7499 8413
N9101181	4599 4618 4564
N9102146	6043 1906 5310
N9102248	8406 6951 1752 6932
N9102365	6176 4833 7087 5442 1115 8202 4224
N9102576	3740 1577
N9102610	878 8171
N9102725	7171
N9102835	4222 1906 2163 7499 3016 81 5755
N9103916	2739 1993 2374 5337 3129 2856 1273
N9104017	8144 1577
N9104506	1034 3500 785 892 5310 1397 569 8316 3233 5708 5993
N9104543	7527 875 7975
N9104670	6909 5189 7396
N9105586	7585 1225 4655 6208 4550 688 7785 1976 3764 7234 3623 7499 2341 7486 4820 5768 2328 5069 5580
N9106178	5149
N9106947	1969 7 1872 7842
N9107009	3579 1626
N9107011	3500
N9107125	892 8316
N9107279	533 4697 7432 3885 3477 5726 8356 3330 3479 5006 3501 6007
N9107703	2603
N9107729	4419
N9107760	7499
N9108599	7585 7677 5588 2725 1667 2755 1959 5930 5404
N9109275	1006 5310 81
N9109524	3034 3034 8029 2449 8202
N9109792	7171 4687 2826
N9109809	7389 219 2605
N9109963	6633
N9110062	7171 1752
N9110086	370 4624
N9111300	7171
N9111377	7171 7499 6940
N9111442	5310 7499 3542 7010 8202 5310 7499 3542 7010 8202
N9111840	785 4972 3386 4592 5540 5310 6176 8316 3772 7499 3765 3573 1027 6219 1572 3956
N9112618	4013
N9113579	1891 3620
N9113980	3500 5993
N9114397	5472 7404
N9114924	5337 1577 2005
N9114969	2585 7012 2241 4760 3386 1239 5627 3502 6886 7432 3367 5559 6258 7165 1717 2643 8202
N9115054	1636 7171 1577 7499 7063 1752
N9115171	7325 1578 5553 8316 847 7866 480 480 480 8202 5297
N9115340	3821 5848 7289 1687 2751 6219 1172
N9115714	4222 4324 5135 81
N9115751	4222 5310
N9115877	999 999 7527 3764 7499 3836 2826 2826 7194 7194
N9116226	785 5310 7027 8316 6124 4767 3024 6752
N9118637	5310 2374 3485 6638 7499 8324 1687 1198 2856 5768 450
N9120195	148 7499 3836 6417 89
N9121370	7389 2471 8315 5310 1383 219 4673
N9121540	4715
N9121676	1102
N9121696	7499
N9121729	4891
N9121833	5973
N9122877	8411 450 2161
N9123332	4715 4715 7162
N9123389	4855
N9123611	2176 5386
N9123888	7171 8411 450
N9124325	3500 5330 785 4972 4972 4592 5310 4828 8316 5708 5708 4053 78 2856
N9125365	6496 3587 7501 5310 6220 6176 7380 3068 4841 6294 3440 8202
N9125450	3064
N9125528	7527 2511 8389 8411 2869 450
N9125568	5960
N9125907	4222 946 5207 5310 3094 81
N9125920	5310 5651 6959 7900 3094 4263 6182 6798 6798
N9126260	4880 1505 7899 5189 437
N9126319	5628 3050 8521 3473 1906 968 5197 7593 2084 8016 3093 2061 59 8237 7215 7248 6712 3169
N9126523	7527 4050
N9127115	4121 5207 1015 1752 4240
N9127147	7527 4891 3987 1354
N9127160	5310 81
N9127331	7527 2003 1906 5310 3761 3088 3659 5624 5624 3609 3620 5852 6618
N9127658	3500 4727 8311 7491 2163 6176 7171 6526 1161 3360 7396
N9127963	7527 2869 450
N9128826	7171
N9128968	7527
N9129049	7527 2422 3999 4473 4050 6880 5718 450
N9130057	2645 8083 1417 1097 7441
N9130748	5310 4868 7288 7288 8202
N9130831	3870 3080
N9130902	7389 1939 5310 8198 7389 1939 5310 8198
N9131032	3697 4841 3440
N9131100	7527 2869
N9131146	1752 108
N9131173	4690
N9131175	2176
N9131254	6682
N9131284	3605
N9131507	7527 4050 2869
N9131921	3836 3151
N9131971	1993 2489 2772 6638 2127 6948 7907 4868 1959 372 5676 874 7879 492
N9132115	7527 8229
N9132168	1102
N9132211	2537 4550 7342 892 5432 3764 7994 2879 5580
N9132282	3718
N9132300	5708 1764
N9132393	5677
N9132516	4473 450
N9132858	3529 6008 8323
N9133416	4013 3740 3764 7234 7121 2447 1524 7653 7042 6682 7258
N9133866	4549 5310 4715 7171 739 8091 2079 7554
N9134441	1953 7681 2076 1765 1953 7681 2076 1765
N9134472	4013 4550 2814 2370 7234 6365 2826 2447 4820 7653
N9134605	6697 1419 1953 7619 8314 2172 4468 6166 7559 6639 3104 1724 2053 4642 5769 546
N9135072	5310 4900 6235 5774
N9135506	2374 5195
N9135641	7761 5310 5337 6091 5146 8202
N9135735	4550
N9135742	7585 2374 7234 1270 2328 2502
N9135895	999 4013 4820 6682 6682
N9136621	4222 717 111 6417 7396
N9137108	7499 3675 4493 7030
N9137366	8411 8411
N9137402	7452 6308 1235 3871 4473 149 2640 7952 657
N9139475	3500 6198 785 8316 5708 1910 7783
N9139848	1467 7653
N9140244	5310 5848 5316
N9140700	8229
N9140795	3500 785 5708 1687 7783
N9141298	6208 6208 6167 6167 3386 702 2010 7663 7191
N9141328	6496 5310 5337 3455 8324 4060 5929
N9141466	800 8262 7453 5972 8387 4565 4841 7512 3440 8202
N9142382	7482
N9142414	6235 5774
N9142564	3969 1577 8085 8202 2076 1681 5084
N9142596	1906 1906 8297 6691 7829
N9142902	4715 7171 1566 1123
N9143706	5614 4751 1419 5310 5306 1778 7499 7335 1565 5189
N9143711	3500 1133
N9143726	3496 5310 3753 8411 4583 81 5686
N9144003	1577 7499 3093 2751 78
N9144087	3489 6176 2127 205 50 400 7859 5505 5658 3964 3572 5768 8202 115
N9144138	4222 215 3526 7121 1230 1230 5225
N9144538	5972 2163 6176 8087 282 4841 6712 437 8202 3832
N9144689	8029 5500 5972 7171 4899 6386 5442 4841 7396 3440
N9145023	7481 3037 5884
N9145191	3440
N9145247	4592
N9145290	8245
N9145316	8245 7530
N9145483	4715 5957
N9146045	1993 1579 6176 6941 4618 1577 7087 802 6639 4868 5027 4841 6712 3440 8132 8132 8202
N9146175	3396 5310
N9146285	8029 7637 6537 3440
N9146471	785
N9146940	834 3034 7171 1577 61 5768
N9148323	8324 4375
N9149107	3529 1993 5442 5795 1316 278 7396
N9150716	6627 3193 8311 7491 4040 4879 2190
N9150834	48 719
N9151641	8140
N9151802	4274
N9151872	5452
N9151903	2370
N9152195	5310 2127 2061 815
N9152673	4899 7499
N9152793	6496 8028 5635 6176 5766 5766 7463 3455 8121
N9152828	5566 8029 2021 4841 6819 3440 8202 3108
N9152838	8056 1137 751 5600
N9152857	8538
N9152892	3500 785 4592 8316 5101 3772 5708 2856
N9152899	4780 4780 785 2471 5310 2374 2298 4023 5677 5934
N9152958	2489 1407 1577 2021 2151 1155 4948 4948 7396 3440
N9153438	7491
N9153505	1993 5310 7499 6409 278
N9153557	6341 1995 2638 4841 3440 3205
N9153595	515 6745
N9154001	3504 5287
N9154093	2032 6863 1524
N9154554	5310 7499 3836
N9154651	8236 3094
N9154810	6019 7499
N9154971	5310 3886 1052 8091 1524 643
N9155327	5310 4715 7380 5189 967 7404 4715 7380 967 7404
N9156385	8056 1137 751
N9156405	6577 2163 2381 3119 846 6712 7396 8202 4180 7374
N9156426	5884 4274 6682
N9156538	2176 5310 2495 5677 5768 8366 7569
N9156696	1906 6176 7171 7499 3700 7396
N9157959	999 5310 3764 4462 7121 3894 147 1524 7042
N9158388	2869
N9158415	7389 6807 6537 3699 3440
N9158468	7527 5310 8411 450
N9158719	2096 2456 2479 4525 4172 7425 7425 4650 77 2954 3031 8026 7499 8324 3573 744 4841 5149 3440 8364
N9159166	7569
N9159400	7425 589 4058 270 1859 6471 7220 2447
N9160782	7251 7381 1480 6098 4763 7907 3573 2638 282 6539 4841 6992 3126 538 437 8202 5822
N9160897	1577 6346 1524 7396
N9161892	954 372 4642 5127
N9161962	4711 2856
N9162129	6512 5760 5310 533 3479 1263 4242 5397 2079
N9162398	4780 785 2471 5310 2374 2298 8229 5934
N9162402	582 7171 8411 1752
N9162407	785 5310 677 78 7836 6623
N9162482	7389
N9162508	7513 7171 5659 7930
N9162509	5969
N9162561	7499
N9163287	5310 7499 4089 437
N9163550	3033 3367 1577 7681 3513
N9163586	4222 1854
N9163598	5310 2858 8098 2569
N9163750	5537 5024 6928
N9164142	1906 5310 7158 2093 81
N9164508	4322 4492
N9165001	8359 1207 7284 7284 5103 3440 163 1
N9165314	6184
N9167619	7501 2374 6886 6941 6941 3222 1572 761
N9168008	785 4550 6060
N9168030	3764 7129 7499 7121 3836 2826 6935 7030 7653 3976
N9168040	1993 7425 4803 422 8324 8237
N9168105	8443 7396 3440
N9168144	7499 7963
N9168230	5102
N9168232	8443 7171 7396 3440
N9168318	4841 7396 3440
N9168438	8443 7171 3440
N9168735	5310 6940
N9168809	7840 635 2856 7193 437 6932 635
N9169938	1009 2984 3789 6703 4468 7542 7914 7547 3104 2302 1336 2559 337
N9170172	5628 7501 1993 5197 6941 8472 8016 8016 3093 4547 3597 3597
N9170824	1906 5310 4468 363
N9171462	3102
N9172199	7499
N9172260	7527
N9172274	7499
N9172297	1752
N9172374	2144 6682
N9172433	3485 6176 81
N9172511	4687 5681
N9172583	8443 1085 5007 7396 3440
N9173220	6690 2176 5504
N9173319	265 7464 1579 2374 4099 1330 5197 6941 5136 269 3093 4868 7758 3068 7248 8202 3597
N9174732	7389 715 1906 5310 5891 3656 5337 1066 8430 6163 4058 6471 1274 3104 2447 5146 5768 2734 7042 8174 2031
N9175639	8311 5310 7491 81
N9175780	2631 3776 4792 4792 5960 7653 5768
N9175789	7337 6091 3755
N9176353	8479 5310 8330 1577 3789 7499 3133 4463 5294
N9176651	5310 3485 2163 8249 5189 4441 6713
N9176824	3028 4899 3187 5513 2021 3 4841
N9176872	9 5972 6413 3140 6386 767 8334 4841 4340 3440
N9176912	7818
N9177090	5310 1577
N9177802	811 7294 7499
N9178015	1993 4887 699 2856
N9178263	5310 6176 3764 7499 2826
N9178686	640
N9179514	3709 6043 4997
N9179697	8518 6128 6176 4480 3934 7125 6433 228
N9180361	2018 2024 4164 8017
N9180545	8311 5310 4817 6176 4407
N9181150	3529 4298 1889 622
N9181419	1577
N9181660	7129
N9181819	1606
N9181907	7499
N9181939	374
N9182034	7491 2914 2869
N9182589	5310 1065 7499 4463
N9182786	3942 5310 4698 6739 74 5050 5175 437
N9182832	4928
N9182903	3740 5112
N9182989	3709 4715 1492
N9183003	3500 2316 4215 6682
N9183095	7389 5310 4543 219
N9183185	4363 749
N9183481	5857 1297 6753 2558 4933
N9183504	4071 2061 4671 5084
N9184766	4784 3709 4687
N9184908	514 4103 8340
N9184928	5047
N9185326	7499
N9185351	8091 7396
N9186275	7389 187 4113 3385 8530 4834 7346 7346 387 6683 6124 6246 2632 4032 7499 2720 2142 2097 118 414 5340 1752 6852 7836 7530 4721 2150 1436
N9186285	3500 701 7499 2869
N9186337	5385 377 3903 2122 7213 5310 2374 3094 2406
N9186390	7501 3492 5197 5374 6941 7450 4626 6990
N9186452	582
N9186455	3529 7699 1579 1588 1577 8420 2530
N9186608	1906 6404 3104 7718
N9186991	5310 3718 6176 5893 5884 4139 4321 8202
N9187255	3440
N9187446	4899 7380 744 4841 5544 1857 3440 8202
N9187841	7814 2015 7319 7936 6054 2021 744 4841 348 3440
N9187968	5310 6517
N9188071	2444 3093
N9188195	1474 5199
N9188370	7396 3440 3440
N9188573	3440 4841
N9188577	7389 3260 8091 2826 3133 640
N9188815	6220
N9189380	3500 7499 6605
N9189678	5972 5513 8086 7927 967 4841 7396 8202
N9190208	7705 5810
N9190472	4290 5938
N9191488	3449 4550 2127 6573 5884 8396 4274 7286
N9191774	8411 5189 4441
N9191779	3500 785 4592 6591 2701
N9191816	826 7818
N9192111	7121
N9192147	6219
N9192185	1034
N9192286	7530
N9192298	3500 5767 2249 1417 6176 5886 1278 5855 6211 2980 1383 7166 1752 6797 1572 3860 6423 4712
N9192438	3587 3800 3485 3492 3225 5197 7144 7144 6941 6881 5291 6639 3068 6294 6686 3440 4692
N9192611	6980
N9192841	1577 2279 2279
N9193018	5199
N9193084	3500 785 8316 7108 7783 5629 5660
N9193263	8056 2852 2025
N9193455	1034 5310 2038 3573 8178 2328 2517
N9193456	4274 1832 7836 5938
N9194698	8054 4655 3094 7115 4820 7653
N9194768	7527 785 5310 8316 4928 1606 5929
N9195220	1906 5913 6219 1672 7932
N9195380	3089 984 917 6037 2705 1309 5008
N9195753	7527 7389 3500 4946 5265 5310 3718 6344 1577 4928 7407 1752 1911 4690
N9196013	3590 7936 6950 4841 3440 492
N9196102	1461 6940 8202
N9196169	643 643 3440
N9196960	3764 2154 7121 7121 3894 7409 2826 1524 2856 7042 6682
N9197171	1969 5310 4899 4290
N9197260	785 677 4453 2751 1492
N9197429	5947 7425 5011 3689 4058 4058 1441 4707 2822 437 4020 2673 8106 8106
N9197674	7331 4271 7925
N9197737	5141
N9197796	8108 6469 6915 7787
N9198665	5420 4085 2274 2447 1524 7042 6728
N9198805	8540 5300 5300 3968 3479
N9198968	2021 2279 4841 3440 8202
N9199162	3590 3590 3590 677 81
N9199245	7499
N9199574	4715 1577 4597
N9199949	1906 892 727 5391 7499 7836
N9200460	7389 1993 6909 1778 7499 3836
N9200497	5340
N9200712	3500
N9200802	6091
N9201293	715 4675 7454
N9201454	3735 6307 6307 4619 7425 5011 4991 4952 6471 5667 4790
N9201530	4686 4686 3068 4170
N9201546	7527
N9201573	1490 1490
N9201684	4013 5643 4036 5310 2370 2370 4416 5220 7555 2404 3894 600 2939
N9202083	5451 4288 6907
N9202099	3590 5310 1066
N9202581	7527
N9202624	3740 1015 1492 2856
N9202747	7527 1993 4019 6159 1524 7631
N9202985	1066
N9203516	4013 7313 5310 6517 8222 3732 4820 4820
N9203579	4550 3764 7234
N9203611	5978 1577 7715 5146
N9203653	7521 5201 8324 8333 2279
N9203678	4071 4750
N9203696	6066 5758 708 6597 727 4183 6322 4603 3989 6734 6110
N9203815	7389 5310 8530 7563 1015 807 2500 1492 219 2044 2856 6728
N9203901	8056 1137 751 5112
N9203920	8056 8008 751
N9204126	4071 5948 5442 4841 7193 7959 3440
N9204219	4899 2127 1438 4798
N9204220	999 3764 4792
N9204368	2582 4687 3698 3349
N9204508	7501 1993 5197 1119 7621 6941 4468 7499 8324 6639 4104 3479 3479 7663 4547 6712 1795 8202
N9204532	1985 4443 8487 4686 4899 3252 3068 7711 1530
N9204807	4222 6980 2869 3440
N9204947	7499
N9205128	715 7425 5650 2488 5310 870 6795 7064 8324 5738 6713
N9205268	4715 7171 8091 7499
N9205599	5024
N9205850	812 5310 822 2512 4965 372 7657 8200 7478 7478 8202
N9205910	7389 802 6098 7608 7115 7663 4841 3440 5639
N9206191	1577 294
N9206283	7171 1504
N9206326	3231 2370 4624
N9206398	5557 1492
N9206716	3500 5310 6091 3848 3557 6853 7499
N9206984	2801 6498
N9207016	4685 7396
N9207674	6321
N9207748	5310
N9210324	5969
N9210441	5310 505 4642
N9210671	5310
N9210800	725 7477 8088 6245 8017
N9210845	5628 7840 7501 5197 250 6941 8016 8016 3093 3093 3106 5516 1115 4224 3565 3597
N9211337	1322 1207 1327
N9211374	5758 8482
N9211768	1194 5551 3605 2751 5768
N9211810	6594
N9212182	265 7144 6941 6552 3093
N9213587	5310 7836
N9213641	2676
N9213955	641 5310 1687 1954
N9214009	3367 3573 4841 3440 8202
N9214077	1052 5085
N9215062	8029
N9215715	3590 5403 4674 8237 1389 513 6826
N9215887	7171 2142 2142 7150 7404
N9215947	7585 785 5618 4666 7499 2751 4323 5969 2328
N9216651	2489 5310 4686 698 372 3068 81 5445
N9216681	3590 1585 6531 5310 8237 513
N9218109	5870 5310 4841 3440
N9218173	5914 2163 4899 8292 19 4966 7847 967 437 3440 8202
N9218947	5310 8337 8202
N9219223	6209 869 1207
N9219379	1572
N9219381	1572 3860
N9219439	5329
N9219446	4442 7954 5181 5629 7923
N9219541	6091
N9219607	4841 3440
N9219715	1172
N9219727	5201 2555 2226 5708 3214 4037 7286 1913 8289
N9219760	7171 7499
N9219800	4253 2722 6054 3948 1356 6413 5513 6098 7380 4841 3440
N9219856	7499 8052
N9219871	5116 1269 5189 2976
N9220136	5310 7491 2163 4040 4879 6933 81
N9220536	7933 8332
N9220570	744 3440
N9220683	2852 1137
N9220783	7899 7839 1335 7715 640
N9220902	7389 3500 5913 7348 7499 8012 3873 5199
N9221595	4013 2154 5189 3894 147 7042
N9221714	2374 7171 1930 5967 8100
N9221766	1577 2279
N9222259	7527 1993 5310 372 2826 2856
N9222303	8219 4102 1778 6060
N9222379	5310 6176 7499 967 1223 2856
N9222592	3755 4841
N9222750	5228 6188 8202 6468
N9223488	2127 2696 544 6150 5442 4841 7588 7588 1163 3440 8202 3832 5252
N9223506	5310 5932 8387 4841 3440
N9224194	3883 3883 3094 6562 2163 5607 7681 7681 3985 3894 7969 282 4841 3440 3883 3883 3094 6562 2163 5607 7681 7681 3985 3894 7969 282 4841 3440
